preco_maximo,preco_minimo,variacao_bid,variacao_pct,preco_compra,preco_venda,data_hora,moeda,data_ingestao,origem_arquivo
10200.0,8956.02,869.67,9.437,10083.3,10085.0,22/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9673.57,9122.78,-91.5,-0.983,9214.32,9215.33,21/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9517.0,9182.42,-162.59,-1.716,9304.65,9305.13,20/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9564.08,9287.07,162.14,1.742,9470.3,9472.09,19/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9367.83,9202.0,79.01,0.856,9307.77,9313.76,18/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9469.98,9200.0,-55.48,-0.598,9228.1,9230.5,17/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9487.64,9061.49,-89.06,-0.951,9274.11,9277.23,16/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9769.24,9340.1,-179.25,-1.877,9368.94,9372.82,15/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9944.06,9432.58,108.93,1.154,9548.9,9551.51,14/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9720.98,9220.0,-252.23,-2.604,9430.12,9432.97,13/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9851.91,9121.29,452.26,4.897,9690.47,9692.15,12/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9350.04,8900.0,240.53,2.674,9236.28,9236.43,11/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9764.27,8779.86,-760.06,-7.784,8999.97,9001.68,10/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9854.84,8369.16,879.32,9.893,9758.46,9764.27,09/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9609.69,8731.89,-352.0,-3.809,8881.09,8885.11,08/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
9563.0,8318.79,-80.05,-0.86,9226.02,9230.7,07/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10676.0,9070.0,-1311.35,-12.345,9303.71,9310.54,06/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10721.5,10388.6,-5.72,-0.054,10622.2,10624.6,05/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10686.0,9984.0,491.35,4.825,10671.2,10674.4,04/04/2025 21:39,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10497.5,9851.21,50.44,0.493,10284.5,10287.7,03/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11104.8,10164.8,-614.0,-5.659,10241.1,10246.4,02/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11004.5,10422.0,410.39,3.931,10850.0,10851.0,01/04/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10684.9,10310.8,-48.17,-0.459,10440.0,10441.4,31/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
10734.5,10273.7,-117.82,-1.11,10494.2,10497.2,30/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11100.0,10453.7,-379.05,-3.447,10611.5,10611.8,29/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11603.7,10764.0,-536.28,-4.651,10996.5,10998.0,28/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11707.5,11464.1,-39.04,-0.337,11531.7,11532.5,27/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11883.7,11387.5,-244.72,-2.072,11567.8,11568.9,26/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
12105.0,11476.8,396.73,3.455,11876.4,11879.2,25/03/2025 03:05,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
12105.0,11351.2,482.64,4.183,12020.7,12028.9,24/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11644.4,11407.3,111.9,0.979,11539.7,11542.2,23/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11559.2,11316.4,109.83,0.97,11428.7,11429.6,22/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11389.3,11100.0,36.47,0.323,11319.4,11319.4,21/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11702.1,11090.0,-368.05,-3.161,11277.4,11278.1,20/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11718.8,10972.9,642.29,5.834,11645.7,11647.6,19/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11029.9,10648.3,22.19,0.202,11006.0,11008.1,18/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11119.9,10836.3,66.28,0.607,10984.6,10989.0,17/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11218.3,10765.2,-274.22,-2.449,10923.8,10928.3,16/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11307.4,11006.4,149.85,1.357,11195.0,11197.1,15/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11189.6,10816.0,189.89,1.752,11042.3,11044.4,14/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11204.0,10616.4,-259.87,-2.342,10836.4,10837.7,13/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
11422.7,10695.0,-132.4,-1.179,11096.5,11099.7,12/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
