code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date,moeda
,,,10524.1,10194.2,213.22,2.088,10425.1,10425.9,1745711990,,ETH
,,,10423.7,9900,106.4,1.053,10203,10204.4,1745625597,,ETH
,,,10338.4,9881.67,-220.43,-2.137,10096.6,10096.7,1745539181,,ETH
,,,10457.6,10020.7,234.89,2.329,10315.7,10319.4,1745452748,,ETH
,,,10200,8956.02,869.67,9.437,10083.3,10085,1745366371,,ETH
,,,9673.57,9122.78,-91.5,-0.983,9214.32,9215.33,1745279995,,ETH
,,,9517,9182.42,-162.59,-1.716,9304.65,9305.13,1745193552,,ETH
,,,9564.08,9287.07,162.14,1.742,9470.3,9472.09,1745107178,,ETH
,,,9367.83,9202,79.01,0.856,9307.77,9313.76,1745020779,,ETH
,,,9469.98,9200,-55.48,-0.598,9228.1,9230.5,1744934354,,ETH
,,,9487.64,9061.49,-89.06,-0.951,9274.11,9277.23,1744847992,,ETH
,,,9769.24,9340.1,-179.25,-1.877,9368.94,9372.82,1744761577,,ETH
,,,9944.06,9432.58,108.93,1.154,9548.9,9551.51,1744675186,,ETH
,,,9720.98,9220,-252.23,-2.604,9430.12,9432.97,1744588771,,ETH
,,,9851.91,9121.29,452.26,4.897,9690.47,9692.15,1744502390,,ETH
,,,9350.04,8900,240.53,2.674,9236.28,9236.43,1744415999,,ETH
,,,9764.27,8779.86,-760.06,-7.784,8999.97,9001.68,1744329558,,ETH
,,,9854.84,8369.16,879.32,9.893,9758.46,9764.27,1744243180,,ETH
,,,9609.69,8731.89,-352,-3.809,8881.09,8885.11,1744156798,,ETH
,,,9563,8318.79,-80.05,-0.86,9226.02,9230.7,1744070375,,ETH
,,,10676,9070,-1311.35,-12.345,9303.71,9310.54,1743983957,,ETH
,,,10721.5,10388.6,-5.72,-0.054,10622.2,10624.6,1743897556,,ETH
,,,10686,9984,491.35,4.825,10671.2,10674.4,1743802755,,ETH
,,,10497.5,9851.21,50.44,0.493,10284.5,10287.7,1743724757,,ETH
,,,11104.8,10164.8,-614,-5.659,10241.1,10246.4,1743638377,,ETH
,,,11004.5,10422,410.39,3.931,10850,10851,1743551983,,ETH
,,,10684.9,10310.8,-48.17,-0.459,10440,10441.4,1743465585,,ETH
,,,10734.5,10273.7,-117.82,-1.11,10494.2,10497.2,1743379187,,ETH
,,,11100,10453.7,-379.05,-3.447,10611.5,10611.8,1743292775,,ETH
,,,11603.7,10764,-536.28,-4.651,10996.5,10998,1743206363,,ETH
,,,11707.5,11464.1,-39.04,-0.337,11531.7,11532.5,1743119985,,ETH
,,,11883.7,11387.5,-244.72,-2.072,11567.8,11568.9,1743033596,,ETH
,,,12105,11476.8,396.73,3.455,11876.4,11879.2,1742871954,,ETH
,,,12105,11351.2,482.64,4.183,12020.7,12028.9,1742860777,,ETH
,,,11644.4,11407.3,111.9,0.979,11539.7,11542.2,1742774395,,ETH
,,,11559.2,11316.4,109.83,0.97,11428.7,11429.6,1742687989,,ETH
,,,11389.3,11100,36.47,0.323,11319.4,11319.4,1742601574,,ETH
,,,11702.1,11090,-368.05,-3.161,11277.4,11278.1,1742515161,,ETH
,,,11718.8,10972.9,642.29,5.834,11645.7,11647.6,1742428781,,ETH
,,,11029.9,10648.3,22.19,0.202,11006,11008.1,1742342384,,ETH
,,,11119.9,10836.3,66.28,0.607,10984.6,10989,1742255964,,ETH
,,,11218.3,10765.2,-274.22,-2.449,10923.8,10928.3,1742169566,,ETH
,,,11307.4,11006.4,149.85,1.357,11195,11197.1,1742083192,,ETH
,,,11189.6,10816,189.89,1.752,11042.3,11044.4,1741996776,,ETH
,,,11204,10616.4,-259.87,-2.342,10836.4,10837.7,1741910365,,ETH
,,,11422.7,10695,-132.4,-1.179,11096.5,11099.7,1741823991,,ETH
,,,11453.6,10355.9,232.29,2.114,11218.6,11219.8,1741737570,,ETH
,,,12586.6,10679.4,-872.84,-7.372,10978.8,10984.3,1741651176,,ETH
,,,12915.3,11648.6,-1040.45,-8.087,11824.4,11827.1,1741564773,,ETH
,,,13041.3,12287.4,382.36,3.063,12863.8,12864.9,1741478354,,ETH
,,,13095,12235.5,-299.31,-2.344,12477.3,12478.8,1741391963,,ETH
,,,13385.9,12612.3,-187.7,-1.449,12766.7,12769.2,1741305575,,ETH
,,,13340.3,12590.5,163.2,1.276,12955.8,12959.3,1741219191,,ETH
,,,13063.4,11855.8,37.79,0.296,12783.4,12792.4,1741132756,,ETH
,,,14946.7,12449.7,-2156.94,-14.459,12757.3,12760.5,1741046375,,ETH
,,,15090,12907.1,1782.58,13.571,14913.4,14918,1740959985,,ETH
,,,13534.4,12737.2,-104.73,-0.79,13130.7,13134.7,1740873571,,ETH
,,,13540.7,12203.8,-256.11,-1.896,13248.9,13252.7,1740787197,,ETH
,,,13882.3,13050.1,-124.62,-0.914,13499.8,13502.6,1740700794,,ETH
,,,14457.6,13130,-819.05,-5.677,13618,13619.4,1740614354,,ETH
,,,14682.7,13465.3,-166.58,-1.142,14414.1,14426,1740527979,,ETH
,,,16319.7,14321,-1637.8,-10.107,14558.7,14565,1740441554,,ETH
,,,16398.2,15812.6,299.61,1.88,16190.7,16227,1740355194,,ETH
,,,16106.8,15255,604.38,3.95,15889.4,15920,1740268735,,ETH
,,,16284.8,15038.7,-348.9,-2.23,15285.4,15319.8,1740182364,,ETH
,,,15834.3,15462.3,109.15,0.7,15630.7,15666.8,1740095993,,ETH
,,,15655.1,15180.3,294.4,1.93,15523.4,15555.5,1740009532,,ETH
,,,15871.4,14915.1,-556.9,-3.52,15232.3,15264.6,1739923172,,ETH
,,,16313.8,15173.4,503.3,3.29,15786.2,15819.3,1739836741,,ETH
,,,15628.4,15272.5,-148.9,-0.96,15294.8,15328,1739750360,,ETH
,,,15621.3,15325.5,-90.15,-0.58,15461.4,15496.8,1739663950,,ETH
,,,15957.6,15389.5,146.47,0.95,15553.7,15588.1,1739577559,,ETH
,,,15897.8,15111.4,-365.18,-2.31,15408.3,15439.4,1739491188,,ETH
,,,16092.8,14709.7,764.95,5.09,15763.3,15798.3,1739404757,,ETH
,,,15755.7,14835.4,-413.27,-2.68,15004.7,15038.7,1739318357,,ETH
,,,15624.1,15005.7,41.3,0.27,15422.9,15449.2,1739231977,,ETH
,,,15770,14827.9,-27.47,-0.18,15393.7,15406.1,1739145596,,ETH
,,,15576.3,15192.2,75.3,0.49,15391.1,15438.7,1739059185,,ETH
,,,16177.3,15000.4,-227.23,-1.46,15304.6,15337.7,1738972775,,ETH
,,,16640.9,15429.9,-646.48,-3.99,15522.9,15580.9,1738886335,,ETH
,,,16455.8,15633.7,391.67,2.47,16217.5,16222.7,1738799954,,ETH
